bug.id,package.name,dir.src.classes
1,org.joda.time,src/main/java
2,org.joda.time,src/main/java
3,org.joda.time,src/main/java
4,org.joda.time,src/main/java
5,org.joda.time,src/main/java
6,org.joda.time,src/main/java
7,org.joda.time,src/main/java
8,org.joda.time,src/main/java
9,org.joda.time,src/main/java
10,org.joda.time,src/main/java
11,org.joda.time,src/main/java
12,org.joda.time,src/main/java
13,org.joda.time,src/main/java
14,org.joda.time,src/main/java
15,org.joda.time,src/main/java
16,org.joda.time,src/main/java
17,org.joda.time,src/main/java
18,org.joda.time,src/main/java
19,org.joda.time,src/main/java
20,org.joda.time,src/main/java
22,org.joda.time,src/main/java
23,org.joda.time,src/main/java
24,org.joda.time,src/main/java
25,org.joda.time,src/main/java
26,org.joda.time,src/main/java
27,org.joda.time,src/main/java
